NoTroncon;CenterLongitude;CenterLatitude;EmplacementCount;sNoEmplacement;longitude;latitude
360;-73.568106;45.511788;32;G518;-73.567346;45.511438
360;-73.568106;45.511788;32;G519;-73.567346;45.511438
360;-73.568106;45.511788;32;G520;-73.56722099999999;45.511379
360;-73.568106;45.511788;32;G521;-73.56722099999999;45.511379
360;-73.568106;45.511788;32;G522;-73.56711800000001;45.511328999999996
360;-73.568106;45.511788;32;G523;-73.567081;45.511312
360;-73.568106;45.511788;32;G524;-73.56702;45.511284
361;-73.567448;45.511664;16;G542;-73.567909;45.511879
361;-73.567448;45.511664;16;G543;-73.56785699999999;45.511854
361;-73.567448;45.511664;16;G544;-73.567819;45.511837
361;-73.567448;45.511664;16;G545;-73.567708;45.511786
361;-73.567448;45.511664;16;G546;-73.567708;45.511786
361;-73.567448;45.511664;16;G547;-73.56758;45.511726
361;-73.567448;45.511664;16;G548;-73.56758;45.511726
361;-73.567448;45.511664;16;G549;-73.56744599999999;45.511664
361;-73.567448;45.511664;16;G550;-73.56744599999999;45.511664
361;-73.567448;45.511664;16;G551;-73.56732;45.511601
361;-73.567448;45.511664;16;G552;-73.56732;45.511601
361;-73.567448;45.511664;16;G553;-73.567188;45.511545
361;-73.567448;45.511664;16;G554;-73.567188;45.511545
361;-73.567448;45.511664;16;G555;-73.56706;45.511484
361;-73.567448;45.511664;16;G556;-73.56706;45.511484
361;-73.567448;45.511664;16;G557;-73.566979;45.511446
362;-73.566096;45.510855;17;G558;-73.56665699999999;45.5111
362;-73.566096;45.510855;17;G559;-73.56656;45.511057
362;-73.566096;45.510855;17;G560;-73.56656;45.511057
362;-73.566096;45.510855;17;G561;-73.56643100000001;45.510996
362;-73.566096;45.510855;17;G562;-73.56643100000001;45.510996
362;-73.566096;45.510855;17;G563;-73.566292;45.510931
362;-73.566096;45.510855;17;G564;-73.566292;45.510931
362;-73.566096;45.510855;17;G565;-73.566138;45.510889
362;-73.566096;45.510855;17;G566;-73.566138;45.510889
362;-73.566096;45.510855;17;G568;-73.565986;45.510816
362;-73.566096;45.510855;17;G569;-73.56590200000001;45.510776
362;-73.566096;45.510855;17;G570;-73.56590200000001;45.510776
362;-73.566096;45.510855;17;G571;-73.565766;45.510712
362;-73.566096;45.510855;17;G572;-73.565766;45.510712
362;-73.566096;45.510855;17;G573;-73.56563100000001;45.510646
362;-73.566096;45.510855;17;G574;-73.56563100000001;45.510646
362;-73.566096;45.510855;17;G575;-73.565557;45.510612
363;-73.5659;45.510944;12;G582;-73.56621899999999;45.511093
363;-73.5659;45.510944;12;G583;-73.56621899999999;45.511093
363;-73.5659;45.510944;12;G584;-73.56609;45.511033000000005
363;-73.5659;45.510944;12;G585;-73.56609;45.511033000000005
363;-73.5659;45.510944;12;G586;-73.56596400000001;45.510974
363;-73.5659;45.510944;12;G587;-73.56596400000001;45.510974
363;-73.5659;45.510944;12;G588;-73.565836;45.510914
363;-73.5659;45.510944;12;G589;-73.565836;45.510914
