sNoEmplacement,nNoTroncon,longitude,latitude
F291,205,-73.567589,45.505713
F292,205,-73.567589,45.505713
F293,205,-73.56751,45.505803
F294,205,-73.56751,45.505803
F295,205,-73.567432,45.505893
F296,205,-73.567358,45.505932
F297,205,-73.567317,45.505979
F298,205,-73.567317,45.505979
F299,205,-73.567235,45.506073
F300,205,-73.567235,45.506073
F301,205,-73.567183,45.506179
F302,205,-73.567183,45.506179
F195,358,-73.569537,45.505447
F196,358,-73.569537,45.505447
F197,358,-73.569464,45.505524
F202,358,-73.569237,45.505762
F203,358,-73.569237,45.505762
F204,358,-73.569152,45.505854
F205,358,-73.569152,45.505854
F206,358,-73.569111,45.505898
F208,358,-73.569012,45.506002
F209,358,-73.568946,45.506066
F210,358,-73.568946,45.506066
F211,358,-73.568883,45.506133
F212,358,-73.568839,45.506179
F213,358,-73.568768,45.506253
F214,358,-73.568768,45.506253
F215,358,-73.568678,45.506347
F216,358,-73.568678,45.506347
F222,358,-73.568385,45.506662
F223,358,-73.568385,45.506662
F224,358,-73.568335,45.506714
G526,359,-73.569141,45.512445
G527,359,-73.569141,45.512445
G528,359,-73.569013,45.512386
G529,359,-73.569013,45.512386
G530,359,-73.568899,45.512336
G535,359,-73.56855,45.512175
G536,359,-73.56855,45.512175
G537,359,-73.568422,45.512116
G538,359,-73.568422,45.512116
G539,359,-73.568343,45.51208
G540,359,-73.568228,45.512027
G541,359,-73.568228,45.512027
G489,360,-73.569258,45.512322
G491,360,-73.569185,45.512287
G492,360,-73.569051,45.512234
G493,360,-73.569051,45.512234
G494,360,-73.568947,45.512177
G495,360,-73.568897,45.512157
G496,360,-73.568795,45.512108
G497,360,-73.568795,45.512108
G498,360,-73.568673,45.51205
G499,360,-73.568673,45.51205
G500,360,-73.56854,45.511989
G501,360,-73.56854,45.511989
G502,360,-73.568413,45.511929
G503,360,-73.568413,45.511929
G504,360,-73.568343,45.511895
G506,360,-73.568142,45.511802
G509,360,-73.567938,45.511708
G510,360,-73.567865,45.511675
G511,360,-73.567865,45.511675
G512,360,-73.567737,45.511617
G513,360,-73.567737,45.511617
G514,360,-73.567606,45.511558
G515,360,-73.567606,45.511558
G516,360,-73.567478,45.511499
G517,360,-73.567478,45.511499
G518,360,-73.567346,45.511438
G519,360,-73.567346,45.511438
G520,360,-73.567221,45.511379
G521,360,-73.567221,45.511379
G522,360,-73.567118,45.511329
G523,360,-73.567081,45.511312
G524,360,-73.56702,45.511284
G542,361,-73.567909,45.511879
G543,361,-73.567857,45.511854
G544,361,-73.567819,45.511837
G545,361,-73.567708,45.511786
G546,361,-73.567708,45.511786
G547,361,-73.56758,45.511726
G548,361,-73.56758,45.511726
G549,361,-73.567446,45.511664
G550,361,-73.567446,45.511664
G551,361,-73.56732,45.511601
G552,361,-73.56732,45.511601
G553,361,-73.567188,45.511545
G554,361,-73.567188,45.511545
G555,361,-73.56706,45.511484
G556,361,-73.56706,45.511484
G557,361,-73.566979,45.511446
G558,362,-73.566657,45.5111
G559,362,-73.56656,45.511057
G560,362,-73.56656,45.511057
G561,362,-73.566431,45.510996
G562,362,-73.566431,45.510996
G563,362,-73.566292,45.510931
G564,362,-73.566292,45.510931
G565,362,-73.566138,45.510889
G566,362,-73.566138,45.510889
G568,362,-73.565986,45.510816
G569,362,-73.565902,45.510776
G570,362,-73.565902,45.510776
G571,362,-73.565766,45.510712
G572,362,-73.565766,45.510712
G573,362,-73.565631,45.510646
G574,362,-73.565631,45.510646
G575,362,-73.565557,45.510612
G582,363,-73.566219,45.511093
G583,363,-73.566219,45.511093
G584,363,-73.56609,45.511033
G585,363,-73.56609,45.511033
G586,363,-73.565964,45.510974
G587,363,-73.565964,45.510974
G588,363,-73.565836,45.510914
G589,363,-73.565836,45.510914
G590,363,-73.56571,45.510855
G591,363,-73.56571,45.510855
G592,363,-73.565582,45.510795
G593,363,-73.565582,45.510795
H672,364,-73.565171,45.510429
H673,364,-73.565094,45.510393
H674,364,-73.564979,45.510339
H675,364,-73.564979,45.510339
H676,364,-73.564915,45.510309
H679,364,-73.564668,45.510183
