NoTroncon;DescriptionTroncon;DateCreation;NoHeure;NbMinDispo;TxOccupation
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-18;17;1440;0,3486
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-18;18;0;0,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-19;9;1440;0,134
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-19;10;1440;0,1611
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-19;11;1440;0,1451
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-19;12;1440;0,1694
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-19;13;1440;0,2021
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-19;14;1440;0,3333
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-19;15;1440;0,334
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-19;16;1440;0,3118
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-19;17;1440;0,2688
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-19;18;1200;0,2142
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-19;19;1200;0,6142
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-19;20;1200;0,6475
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-20;9;1440;0,05
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-20;10;1440;0,2132
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-20;11;1440;0,3792
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-20;12;1440;0,5528
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-20;13;1440;0,4014
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-20;14;1440;0,4382
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-20;15;1440;0,4958
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-20;16;1440;0,4424
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-20;17;1440;0,4743
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-20;18;1200;0,4133
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-20;19;1200;0,8275
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-20;20;1200;0,7717
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-21;9;1440;0,1243
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-21;10;1440;0,3799
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-21;11;1440;0,3361
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-21;12;1440;0,2993
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-21;13;1440;0,3778
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-21;14;1440;0,2889
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-21;15;1440;0,3083
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-21;16;1440;0,3014
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-21;17;1440;0,4125
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-21;18;1200;0,8558
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-21;19;1200;1,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-21;20;1200;0,8375
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-22;9;1440;0,1153
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-22;10;1440;0,1521
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-22;11;1440;0,2785
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-22;12;1440;0,2889
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-22;13;1440;0,3049
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-22;14;1440;0,2528
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-22;15;1440;0,2347
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-22;16;1440;0,3104
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-22;17;1440;0,4403
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-22;18;1200;0,8658
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-22;19;1200;0,9175
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-22;20;1200;0,9392
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-23;9;1440;0,1583
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-23;10;1440;0,4417
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-23;11;1440;0,5813
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-23;12;1440;0,4882
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-23;13;1440;0,3389
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-23;14;1440;0,3431
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-23;15;1440;0,2097
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-23;16;1440;0,3063
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-23;17;1440;0,3951
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-23;18;1200;0,9933
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-23;19;1200;1,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-23;20;1200;0,8733
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-24;9;1440;0,1104
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-24;10;1440;0,2028
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-24;11;1440;0,2326
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-24;12;1440;0,2625
